id,dayStart,dayEnd,reachImps,targetSegment,videoCoef,mobileCoef,adxCost,targetedImps,untargetedImps,budget,revenue,profitEstimate,cmpBid,impressionTarget,uncorrectedProfitEstimate,costEstimate,estImpCost,estUcsCost,qualityChange,estQualityChange,ucsCost,estCostAcc,estProfitAcc,uncorrectedProffitAcc,estQualityChangeAcc,impTargetFulfillment,bidVs2ndRatio,profit,profitPerImpression,reachFulfillment,estUcsCostAcc
2254684,11,20,1034,[HIGH_INCOME- YOUNG- MALE],2.972798304220592,1.6318475369359147,0.06324453629109855,2072.110272082052,0.0,0.521,0.6719161763331477,7.021244503598734,0.352243733446804,2047,-2.257711592690873,2.862,2.862,1.362,1.4999999999999998,0.36957933920421293,0.05674848402725896,0.30479523550221527,21.535457129941783,11.535356737030959,-3.70924394068188,0.15354885408218746,1.0122668647201034,0.7053582936061643,0.6086716400420491,2.9374481090258637E-4,2.0039751180677485,4.921336770663194
id,dayStart,dayEnd,reachImps,targetSegment,videoCoef,mobileCoef,adxCost,targetedImps,untargetedImps,budget,revenue,profitEstimate,cmpBid,impressionTarget,uncorrectedProfitEstimate,costEstimate,estImpCost,estUcsCost,qualityChange,estQualityChange,ucsCost,estCostAcc,estProfitAcc,uncorrectedProffitAcc,estQualityChangeAcc,impTargetFulfillment,bidVs2ndRatio,profit,profitPerImpression,reachFulfillment,estUcsCostAcc
31292143,20,24,4956,[MALE],2.895565718747555,1.8028276123020457,6.907500224672895,9789.69737819259,0.0,3.433,4.419971861524623,-Infinity,2.835419538968167,7731,-2.3622917005134525,6.546,6.546,5.796,0.75,0.026619316895456713,0.03766880538771766,0.4549671949148171,0.8390879205906171,Infinity,0.9496541770175767,1.4150928641653775,1.266291214356822,1.0487336611988456,-2.4875283631482725,-2.540965534531701E-4,1.975322311983977,1.6484705015719243
32783782,32,36,12610,[FEMALE],2.6975018675950357,1.6745486667980722,7.185304659759966,12610.217441716211,0.0,9.282,9.281639160105275,3.5057170113282607,6.320471232835046,15384,-1.8221754199462068,12.288,12.288,11.538,0.75,-0.15557900270519176,-0.08627037995097497,0.2211186283212941,1.605777422997321,1.6723080265820163,-0.8692197832197378,0.5545117172042142,0.8196969215884172,0.7515502672780551,2.096334500345309,1.6624094786901663E-4,1.0000172435936725,3.3918444849893894
2090717,33,35,1077,[MALE- LOW_INCOME- OLD],2.8857312061339706,2.268930475205264,0.023300049226783595,2154.8234972383198,0.0,0.558,0.7194736112668615,3.1032475037777516,0.5586988306273334,2067,-1.612982823519683,2.3093999999999997,2.3093999999999997,1.8593999999999997,0.44999999999999996,-0.011331607195336324,-3.9181228253681866E-4,0.09950969469432956,79.80240650575985,4.457577352814069,-2.3169262831426303,0.03457693827386413,1.0424883876334397,1.2608538043967434,0.6961735620400779,3.230768380483658E-4,2.0007646213911974,4.52217245146108
16109367,55,59,663,[HIGH_INCOME- FEMALE],2.0783683291377972,2.278424863143341,0.3523475938023857,1327.9605003727006,0.0,0.429,0.0,1.0396072131757639,0.35247546273518154,663,-0.8254774903621935,1.2449999999999999,1.2449999999999999,0.49499999999999994,0.75,0.0,-0.1423328335466585,0.5542223222526331,0.0,0.0,0.0,0.0,0.0,0.998375933295568,0.0,0.0,0.0,0.0
30599128,23,25,153,[HIGH_INCOME- FEMALE- YOUNG],2.474009003326925,1.9460888255438338,0.09805460280531432,307.40861933940675,0.0,0.086,0.11092824897716454,3.796860186895763,0.08616004736300743,302,-0.6389479217489649,0.7217999999999999,0.7217999999999999,0.27179999999999993,0.44999999999999996,0.012179798279081222,0.025624501492530927,0.2679959851434605,2.771924950220379,294.93277477192566,-49.632241963127875,2.10385269980546,1.0179093355609494,1.284325630496314,0.012873646171850217,4.187796100029503E-5,2.009206662349064,1.679129632330541
4831859,26,35,5304,[HIGH_INCOME- FEMALE],2.165283042120622,2.291491263402288,0.3473989575727988,6759.431551622933,0.0,2.844,3.3238958850830693,8.221894877934554,2.7862766501672827,7213,-2.975866051396118,6.306,6.306,4.806,1.4999999999999998,0.0,-0.047642065100966136,0.8040288402822767,13.834238402954574,2.762272254321413,-0.9997880474498994,-Infinity,0.9371179192600766,1.233717749966593,2.9764969275102704,4.4034722517392996E-4,1.2744026303964806,1.8656047206881075
26016535,1,5,10490,[LOW_INCOME- OLD],2.168174420089436,1.889040661948476,1.0733970776813895,20982.423089865748,0.0,10.49,13.525737010468804,0.0,0.0,10490,0.0,0.0,0.0,0.0,0.0,0.17363785496340478,0.0,0.42124074893953967,0.0,0.0,0.0,0.0,2.0002309904543134,0.0,12.452339932787414,5.934652961412136E-4,2.0002309904543134,0.0
2358872,50,54,3816,[YOUNG- LOW_INCOME],2.4099915241497016,2.0544325171536095,0.33895575666617755,7634.782887472566,0.0,3.904,0.0,-0.202422635081821,1.8723743431113171,4731,0.16072928956447452,4.295999999999999,4.295999999999999,3.546,0.75,0.0,-0.04082754215685358,0.25711487475111955,0.0,0.0,0.0,0.0,0.0,0.5827809924133718,0.0,0.0,0.0,0.0
30262000,17,19,1822,[HIGH_INCOME- OLD],2.6758253694691847,2.484269392642843,1.9344200838662318,3646.3732661858767,0.0,1.303,1.680167528582294,-Infinity,1.114,3607,-2.052733626080738,3.6953999999999994,3.6953999999999994,3.2453999999999996,0.44999999999999996,0.06950294984990579,0.06759796652004524,0.24449227788968986,1.6777121097262264,Infinity,8.073600769865761,0.9725913312460199,1.01091579323146,1.062823374184212,-0.25425255528393786,-6.972751737780461E-5,2.0013025610240818,1.8405489281057423
32725132,35,44,10822,[OLD],2.732742343134202,1.8809255228311001,3.6822005935006086,21649.505987447003,0.0,5.768,7.437337732001038,7.345752640830427,5.425895160205045,13202,-3.818120475746752,10.296,10.296,8.796,1.4999999999999998,0.11143163422612146,-0.08628069060212473,0.5652437884374277,2.388788925710803,1.9561875824763801,-1.0167725797815934,-0.7742926073132927,1.6398656254693988,1.1430590134001897,3.7551371385004293,1.7345140072377467E-4,2.0005087772543892,2.6537222180656466
id,dayStart,dayEnd,reachImps,targetSegment,videoCoef,mobileCoef,adxCost,targetedImps,untargetedImps,budget,revenue,profitEstimate,cmpBid,impressionTarget,uncorrectedProfitEstimate,costEstimate,estImpCost,estUcsCost,qualityChange,estQualityChange,ucsCost,estCostAcc,estProfitAcc,uncorrectedProffitAcc,estQualityChangeAcc,impTargetFulfillment,bidVs2ndRatio,profit,profitPerImpression,reachFulfillment,estUcsCostAcc
19973746,13,15,795,[HIGH_INCOME- MALE],2.352138793253806,1.9712241676220175,0.35575579233569266,1592.712917332732,0.0,0.505,0.6512309076902162,0.8102964924633983,0.23166371892441193,1574,-1.2549821415433084,1.8665999999999998,1.8665999999999998,1.4165999999999999,0.44999999999999996,0.043119426908612035,0.06210599738739586,0.04127625745157156,3.9819450041822235,2.7423510487208724,-4.247336159045163,1.4403252046699102,1.0118887657768312,0.5821481103093178,0.29547511535452353,1.8551687007684143E-4,2.0034124746323676,10.902151207094638
26479696,9,18,1546,[HIGH_INCOME- YOUNG],2.152058442769805,1.855376226603639,0.052350763847489205,1547.069561584632,0.0,0.414,0.41425133995069296,-Infinity,0.4149164849530447,2751,-2.8279149282156357,3.33,3.33,1.8300000000000003,1.4999999999999998,-0.06422931225582351,0.05827950210974597,0.19082971310967756,34.956510001100376,-Infinity,-7.814065837267954,-0.9073661240154711,0.5623662528479215,1.0457814805549952,0.36190057610320375,2.3392650536832767E-4,1.0006918250870842,7.860411125482797
21407682,39,43,7952,[HIGH_INCOME],2.230237223839363,2.4392154086011315,1.377011666476506,13712.707024220612,0.0,3.021,3.8164941903427354,1.0740518883074666,1.850072424327093,9701,-4.673355650124085,8.024999999999999,8.024999999999999,7.2749999999999995,0.75,0.1334330198478706,0.19523120622870527,0.21743044741168666,5.283179639730469,0.4402785745745981,-1.9157159784516462,1.4631401316652497,1.4135354112174634,0.7377335154244292,2.4394825238662294,1.77899412534476E-4,1.7244349879553083,3.4493789114085605
2729645,44,46,4212,[FEMALE- OLD],2.019111921291014,1.5785855086878537,6.157245731935999,6677.080023590006,0.0,2.961,3.6836218987950278,0.20536432420402265,1.29273462061646,5138,-1.7503493780243664,5.0742,5.0742,4.6242,0.44999999999999996,0.023638727780702418,0.12019566264840131,0.05428287297054773,0.7510176142581906,-0.08302164680522749,0.7076053175804822,5.084692533517966,1.2995484670280277,0.5362558599783711,-2.473623833140971,-3.704649074747796E-4,1.5852516675189947,8.289907578107677
31262074,33,35,1212,[HIGH_INCOME- MALE- OLD],2.755164346529524,1.9172552968117633,0.011914016526179582,1212.6319152204494,0.0,0.682,0.6819734870924152,0.5629058547479072,0.4236909070951197,2399,-1.753945005049155,2.6082,2.6082,2.1582,0.44999999999999996,0.2816020941199474,0.03998308109845916,0.050980180164306936,181.14797769984804,0.8400834246432217,-2.617596022584352,0.1419843173518039,0.5054739121385783,0.5049173137624794,0.6700594705662356,5.525662504474185E-4,1.0005213821950902,8.826959782206913
24035684,49,58,10600,[HIGH_INCOME- MALE],2.295392616715875,2.1048736429620734,1.916465614231534,9734.44714899473,0.0,8.59,0.0,0.00118278056004309,4.001039516588525,11660,-0.10255333068171169,9.27,9.27,7.7700000000000005,1.4999999999999998,0.0,-0.09600851691840617,0.5373995538443826,0.0,0.0,0.0,0.0,0.0,0.5721116026789297,0.0,0.0,0.0,0.0
1949751,52,54,2517,[LOW_INCOME- OLD],2.76032856722183,1.5364188052145877,1.0959382680987557,5034.845529722521,0.0,2.154,0.0,0.010037314773967567,0.9879313620299076,3221,-0.8702882816518605,3.348,3.348,2.8979999999999997,0.44999999999999996,0.0,-0.03896646755792377,0.10195426047760944,0.0,0.0,0.0,0.0,0.0,0.5633549985125184,0.0,0.0,0.0,0.0
