GameId,BidDay,CampId,AdType,Device,Publisher,Gender,MktGender,Income,MktIncome,Age,MktAge,BidCount,WinCount,TotalCost,CostImpr,LostCount
203,2,17052543,video,mobile,hfn,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,8,8,1.0550429075619614E-6,1.318803634452452E-4,0
203,2,17052543,video,mobile,hfn,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,10,10,1.4874964840269256E-6,1.4874964840269256E-4,0
203,2,17052543,video,mobile,weather,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,15,15,2.2832018191810795E-6,1.5221345461207197E-4,0
203,2,17052543,video,mobile,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,84,84,1.185654894971623E-5,1.4114939225852652E-4,0
203,2,17052543,video,mobile,weather,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,1,1,1.9180402713369833E-7,1.9180402713369835E-4,0
203,2,17052543,video,mobile,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,131,131,1.8285443995510237E-5,1.3958354195045983E-4,0
203,2,17052543,video,mobile,weather,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,6,6,7.629688337592942E-7,1.271614722932157E-4,0
203,2,17052543,video,mobile,hfn,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,1,1,2.0016107897176141E-7,2.0016107897176142E-4,0
203,2,17052543,video,mobile,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,55,55,7.466659698162997E-6,1.3575744905750905E-4,0
203,2,17052543,video,mobile,weather,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,8,8,1.045912329607579E-6,1.3073904120094738E-4,0
203,2,17052543,video,mobile,tripadvisor,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,1,1,1.0872814613901466E-7,1.0872814613901466E-4,0
203,2,17052543,video,mobile,hfn,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,4,4,5.952059428198532E-7,1.488014857049633E-4,0
203,2,17052543,video,mobile,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,43,43,6.49175223738877E-6,1.5097098226485512E-4,0
203,2,17052543,video,mobile,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,7,7,7.405757601639834E-7,1.0579653716628334E-4,0
203,2,17052543,video,mobile,weather,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,9,9,1.2765690306159571E-6,1.4184100340177303E-4,0
203,2,17052543,video,mobile,fox,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,7,7,1.0567071658525169E-6,1.5095816655035955E-4,0
203,2,17052543,video,mobile,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,166,166,2.3416009758822833E-5,1.4106029975194476E-4,0
203,2,17052543,video,mobile,wallmart,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,103,103,1.3195651454031699E-5,1.2811312091292912E-4,0
203,2,17052543,video,mobile,fox,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,2,2,2.1833449196347672E-7,1.0916724598173836E-4,0
203,2,17052543,video,mobile,sears,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,1,1,1.5387646863605194E-7,1.5387646863605195E-4,0
203,2,17052543,video,mobile,tripadvisor,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,4,4,7.363194689564348E-7,1.840798672391087E-4,0
203,2,17052543,video,mobile,fox,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,3,3,4.096547669969327E-7,1.3655158899897755E-4,0
203,2,17052543,video,mobile,tripadvisor,female,FEMALE,very_high,HIGH_INCOME,Age_65_PLUS,OLD,2,2,2.2352888663161508E-7,1.1176444331580753E-4,0
